HouseDescription,Address,Cost
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"Ozamiz, Misamis Occidental",₱ 1.57 million
For Sale Duplex / Twin House 4 Bedrooms 2 Bathrooms 86 sqm. ,"Liloan, Cebu",₱ 4.61 million
For Sale Others 4 Bedrooms 2 Bathrooms 240 sqm. ,"Tagum, Davao del Norte",₱ 4.00 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 65 sqm. ,"Lipa, Batangas",₱ 4.47 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 40 sqm. ,"General Trias, Cavite",₱ 1.94 million
For Sale Others 3 Bedrooms 3 Bathrooms 160 sqm. ,"Las Piñas, Metro Manila",₱ 11.0 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 45 sqm. ,"Trece Martires, Cavite",₱ 2.70 million
For Sale Single Attached House 5 Bedrooms 4 Bathrooms 213 sqm. ,"Antipolo, Rizal",₱ 17.5 million
For Sale Single Detached House 5 Bedrooms 3 Bathrooms 400 sqm. ,"Alabang, Muntinlupa, Metro Manila",₱ 45.0 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 88 sqm. ,"Biñan, Laguna",₱ 4.71 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 239 sqm. ,"Biñan, Laguna",₱ 25.2 million
For Sale Duplex / Twin House 3 Bedrooms 3 Bathrooms 190 sqm. ,"Cainta, Rizal",₱ 12.8 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 50 sqm. ,"Trece Martires, Cavite",₱ 2.80 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 169 sqm. ,"Bacoor, Cavite",₱ 9.10 million
For Sale Duplex / Twin House 5 Bedrooms 5 Bathrooms 280 sqm. ,"Antipolo, Rizal",₱ 17.4 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 183 sqm. ,"San Juan, Metro Manila",₱ 23.7 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 40 sqm. ,"General Trias, Cavite",₱ 1.94 million
For Sale Single Attached House 5 Bedrooms 4 Bathrooms 213 sqm. ,"Antipolo, Rizal",₱ 17.5 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 47 sqm. ,"San Fernando, Pampanga",₱ 2.84 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 88 sqm. ,"Biñan, Laguna",₱ 4.71 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 239 sqm. ,"Biñan, Laguna",₱ 25.2 million
For Sale Duplex / Twin House 3 Bedrooms 1 Bathroom 42 sqm. ,"Valencia, Bukidnon",₱ 1.84 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 50 sqm. ,"Trece Martires, Cavite",₱ 2.80 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 169 sqm. ,"Bacoor, Cavite",₱ 9.10 million
For Sale Townhouse 3 Bedrooms 32 Bathrooms 126 sqm. ,"Quezon City / QC, Metro Manila",₱ 8.00 million
For Sale Duplex / Twin House 5 Bedrooms 5 Bathrooms 280 sqm. ,"Antipolo, Rizal",₱ 17.4 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 40 sqm. ,"Tanza, Cavite",₱ 1.72 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 530 sqm. ,"Antipolo, Rizal",₱ 28.0 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 93 sqm. ,"Consolacion, Cebu",₱ 3.10 million
For Sale Others 5 Bedrooms 3 Bathrooms 100 sqm. ,"Cebu City, Cebu",₱ 9.32 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 50 sqm. ,"Cabuyao, Laguna",₱ 2.30 million
For Sale Single Detached House 5 Bedrooms 6 Bathrooms 291 sqm. ,"Antipolo, Rizal",₱ 30.3 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 160 sqm. ,"Mandaluyong, Metro Manila",₱ 10.2 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 62 sqm. ,"Marikina, Metro Manila",₱ 4.70 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"San Pablo, Laguna",₱ 1.74 million
For Sale Townhouse 4 Bedrooms 2 Bathrooms 90 sqm. ,"Talisay, Cebu",₱ 5.10 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 198 sqm. ,"Antipolo, Rizal",₱ 15.0 million
For Sale Single Detached House 5 Bedrooms 4 Bathrooms 320 sqm. ,"Parañaque, Metro Manila",₱ 28.5 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 83 sqm. ,"Dumaguete, Negros Oriental",₱ 6.43 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 66 sqm. ,"Dumaguete, Negros Oriental",₱ 5.76 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 55 sqm. ,"Cebu City, Cebu",₱ 4.72 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 291 sqm. ,"Antipolo, Rizal",₱ 27.0 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 271 sqm. ,"Antipolo, Rizal",₱ 30.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 308 sqm. ,"Antipolo, Rizal",₱ 35.0 million
For Sale Single Attached House 4 Bedrooms 2 Bathrooms 81 sqm. ,"General Trias, Cavite",₱ 4.20 million
For Sale Townhouse 4 Bedrooms 4 Bathrooms 387 sqm. ,"San Juan, Metro Manila",₱ 53.8 million
For Sale Single Attached House 6 Bedrooms 6 Bathrooms 630 sqm. ,"Parañaque, Metro Manila",₱ 35.0 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 59 sqm. ,"Mexico, Pampanga",₱ 2.95 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 80 sqm. ,"Antipolo, Rizal",₱ 8.00 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 264 sqm. ,"Silang, Cavite",₱ 37.6 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 349 sqm. ,"Santa Rosa, Laguna",₱ 88.3 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 206 sqm. ,"Lipa, Batangas",₱ 12.7 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 100 sqm. ,"Santa Maria, Bulacan",₱ 7.09 million
For Sale Others 5 Bedrooms 3 Bathrooms 100 sqm. ,"Cebu City, Cebu",₱ 9.32 million
For Sale Single Attached House 6 Bedrooms 5 Bathrooms 372 sqm. ,"Cainta, Rizal",₱ 26.0 million
For Sale Single Attached House 3 Bedrooms 4 Bathrooms 95 sqm. ,"Tanauan, Batangas",₱ 13.0 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 184 sqm. ,"Alabang, Muntinlupa, Metro Manila",₱ 9.50 million
For Sale Townhouse 4 Bedrooms 4 Bathrooms 252 sqm. ,"San Juan, Metro Manila",₱ 22.7 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 99 sqm. ,"Las Piñas, Metro Manila",₱ 6.70 million
For Sale Single Detached House 5 Bedrooms 3 Bathrooms 142 sqm. ,"Laoag, Ilocos Norte",₱ 9.95 million
For Sale Single Attached House 3 Bedrooms 1 Bathroom 75 sqm. ,"Davao City, Davao del Sur",₱ 1.80 million
For Sale Townhouse 5 Bedrooms 5 Bathrooms 800 sqm. ,"Quezon City / QC, Metro Manila",₱ 105 million
For Sale Single Detached House 8 Bedrooms 7 Bathrooms 395 sqm. ,"Parañaque, Metro Manila",₱ 30.0 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 99 sqm. ,"Batangas City, Batangas",₱ 3.60 million
For Sale Single Attached House 3 Bedrooms 1 Bathroom 75 sqm. ,"Davao City, Davao del Sur",₱ 1.80 million
For Sale Townhouse 5 Bedrooms 5 Bathrooms 800 sqm. ,"Quezon City / QC, Metro Manila",₱ 105 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 320 sqm. ,"Parañaque, Metro Manila",₱ 20.0 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 115 sqm. ,"Dasmariñas, Cavite",₱ 9.46 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Dasmariñas, Cavite",₱ 6.85 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 250 sqm. ,"Mandaue, Cebu",₱ 18.0 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 600 sqm. ,"Cebu City, Cebu",₱ 45.0 million
For Sale Single Detached House 5 Bedrooms 6 Bathrooms 260 sqm. ,"Cebu City, Cebu",₱ 18.0 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 199 sqm. ,"Cebu City, Cebu",₱ 12.9 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 69 sqm. ,"Trece Martires, Cavite",₱ 3.70 million
For Sale Single Detached House 3 Bedrooms 1 Bathroom 42 sqm. ,"Bacolod, Negros Occidental",₱ 1.60 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 177 sqm. ,"Las Piñas, Metro Manila",₱ 32.0 million
For Sale Single Attached House 4 Bedrooms 2 Bathrooms 84 sqm. ,"Valenzuela, Metro Manila",₱ 6.50 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 125 sqm. ,"Plaridel, Bulacan",₱ 8.69 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 180 sqm. ,"Valenzuela, Metro Manila",₱ 5.75 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 62 sqm. ,"Bacoor, Cavite",₱ 1.89 million
For Sale Duplex / Twin House 3 Bedrooms 2 Bathrooms 80 sqm. ,"Magalang, Pampanga",₱ 3.40 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 368 sqm. ,"Las Piñas, Metro Manila",₱ 27.5 million
For Sale Single Detached House 8 Bedrooms 7 Bathrooms 395 sqm. ,"Parañaque, Metro Manila",₱ 30.0 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 63 sqm. ,"Quezon City / QC, Metro Manila",₱ 4.75 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 99 sqm. ,"Batangas City, Batangas",₱ 3.60 million
For Sale Duplex / Twin House 3 Bedrooms 2 Bathrooms 50 sqm. ,"General Trias, Cavite",₱ 3.20 million
For Sale Single Detached House 5 Bedrooms 3 Bathrooms 160 sqm. ,"Parañaque, Metro Manila",₱ 9.50 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 82 sqm. ,"Meycauayan, Bulacan",₱ 9.50 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 128 sqm. ,"Las Piñas, Metro Manila",₱ 7.87 million
For Sale Townhouse 4 Bedrooms 4 Bathrooms 315 sqm. ,"San Juan, Metro Manila",₱ 50.0 million
For Sale Single Detached House 3 Bedrooms 1 Bathroom 43 sqm. ,"Tanza, Cavite",₱ 2.50 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 145 sqm. ,"Clark, Angeles, Pampanga",₱ 6.06 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 61 sqm. ,"San Pedro, Laguna",₱ 4.79 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 92 sqm. ,"Biñan, Laguna",₱ 3.46 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 622 sqm. ,"Cebu City, Cebu",₱ 78.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 234 sqm. ,"Mactan, Lapu-Lapu, Cebu",₱ 16.0 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 63 sqm. ,"Dasmariñas, Cavite",₱ 6.09 million
For Sale Townhouse 4 Bedrooms 5 Bathrooms 490 sqm. ,"Parañaque, Metro Manila",₱ 42.4 million
For Sale Townhouse 5 Bedrooms 5 Bathrooms 249 sqm. ,"Cubao, Quezon City / QC, Metro Manila",₱ 22.8 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 180 sqm. ,"Cainta, Rizal",₱ 18.5 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 45 sqm. ,"Panglao, Bohol",₱ 3.84 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 53 sqm. ,"Santa Maria, Bulacan",₱ 4.55 million
For Sale Others 1 Bedroom 1 Bathroom 30 sqm. ,"San Jose del Monte, Bulacan",₱ 2.25 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 66 sqm. ,"Bulakan, Bulacan",₱ 5.90 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 126 sqm. ,"Bacoor, Cavite",₱ 12.4 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 77 sqm. ,"Biñan, Laguna",₱ 5.73 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 71 sqm. ,"Biñan, Laguna",₱ 3.80 million
For Sale Others 2 Bedrooms 2 Bathrooms 53 sqm. ,"Santa Maria, Bulacan",₱ 4.67 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 85 sqm. ,"Angeles, Pampanga",₱ 3.46 million
For Sale Single Attached House 3 Bedrooms 4 Bathrooms 190 sqm. ,"Pasig, Metro Manila",₱ 13.0 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 200 sqm. ,"Pasig, Metro Manila",₱ 13.8 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 200 sqm. ,"Cainta, Rizal",₱ 12.1 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Bogo, Cebu",₱ 3.28 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 40 sqm. ,"Malolos, Bulacan",₱ 2.71 million
For Sale Townhouse 3 Bedrooms 32 Bathrooms 126 sqm. ,"Quezon City / QC, Metro Manila",₱ 8.00 million
For Sale Single Attached House 5 Bedrooms 3 Bathrooms 166 sqm. ,"Cabanatuan, Nueva Ecija",₱ 10.4 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 65 sqm. ,"Roxas City, Capiz",₱ 5.50 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 46 sqm. ,"Roxas City, Capiz",₱ 4.10 million
For Sale Townhouse 4 Bedrooms 4 Bathrooms 405 sqm. ,"Quezon City / QC, Metro Manila",₱ 45.5 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 72 sqm. ,"Iloilo City, Iloilo",₱ 5.00 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 95 sqm. ,"Consolacion, Cebu",₱ 11.5 million
For Sale Townhouse 1 Bathroom 40 sqm. ,"Consolacion, Cebu",₱ 1.93 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 277 sqm. ,"Balamban, Cebu",₱ 14.9 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 346 sqm. ,"Valenzuela, Metro Manila",₱ 14.0 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 530 sqm. ,"Antipolo, Rizal",₱ 28.0 million
For Sale Townhouse 1 Bathroom 33 sqm. ,"Sariaya, Quezon","₱ 664,204"
For Sale Townhouse 1 Bathroom 44 sqm. ,"Santo Tomas, Batangas",₱ 1.15 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 67 sqm. ,"Minglanilla, Cebu",₱ 4.00 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 44 sqm. ,"San Jose del Monte, Bulacan",₱ 2.79 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 101 sqm. ,"Meycauayan, Bulacan",₱ 9.05 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 150 sqm. ,"San Jose, Batangas",₱ 8.00 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 85 sqm. ,"Butuan, Agusan del Norte",₱ 4.60 million
For Sale Single Detached House 5 Bedrooms 4 Bathrooms 320 sqm. ,"Parañaque, Metro Manila",₱ 28.5 million
For Sale Single Attached House 3 Bedrooms 4 Bathrooms 360 sqm. ,"Marikina, Metro Manila",₱ 30.0 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 104 sqm. ,"Quezon City / QC, Metro Manila",₱ 7.00 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 91 sqm. ,"Marikina, Metro Manila",₱ 6.05 million
For Sale Rowhouse 29 sqm. ,"General Trias, Cavite","₱ 834,400"
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 264 sqm. ,"Silang, Cavite",₱ 37.6 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 349 sqm. ,"Santa Rosa, Laguna",₱ 88.3 million
For Sale Single Attached House 4 Bedrooms 2 Bathrooms 119 sqm. ,"Antipolo, Rizal",₱ 10.0 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 116 sqm. ,"Tagaytay, Cavite",₱ 5.50 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 206 sqm. ,"Lipa, Batangas",₱ 12.7 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 100 sqm. ,"Santa Maria, Bulacan",₱ 7.09 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 240 sqm. ,"Silang, Cavite",₱ 9.00 million
For Sale Rowhouse 1 Bedroom 1 Bathroom 22 sqm. ,"Numancia, Aklan",₱ 1.85 million
For Sale Single Attached House 4 Bedrooms 1 Bathroom 80 sqm. ,"Biñan, Laguna",₱ 4.46 million
For Sale 3 Bedrooms 2 Bathrooms 67 sqm. ,"Santa Rosa, Laguna",₱ 6.09 million
For Sale Others 5 Bedrooms 4 Bathrooms 150 sqm. ,"Davao City, Davao del Sur",₱ 5.60 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 36 sqm. ,"Cagayan de Oro, Misamis Oriental",₱ 2.22 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 368 sqm. ,"Las Piñas, Metro Manila",₱ 27.5 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 75 sqm. ,"Trece Martires, Cavite",₱ 6.22 million
"For Sale Single Detached House 5 Bedrooms 4 Bathrooms 1,300 sqm. ","Alabang, Muntinlupa, Metro Manila",₱ 436 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 184 sqm. ,"Muntinlupa, Metro Manila",₱ 9.50 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 120 sqm. ,"Quezon City / QC, Metro Manila",₱ 8.50 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 47 sqm. ,"Magalang, Pampanga",₱ 2.19 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 137 sqm. ,"Fairview, Quezon City / QC, Metro Manila",₱ 8.03 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 60 sqm. ,"General Trias, Cavite",₱ 5.08 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 86 sqm. ,"San Fernando, Pampanga",₱ 6.20 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 72 sqm. ,"San Fernando, Pampanga",₱ 2.80 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 263 sqm. ,"Parañaque, Metro Manila",₱ 19.0 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 120 sqm. ,"Quezon City / QC, Metro Manila",₱ 8.50 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 53 sqm. ,"Calamba, Laguna",₱ 4.93 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 40 sqm. ,"Lipa, Batangas",₱ 1.59 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 130 sqm. ,"Candelaria, Quezon",₱ 8.50 million
For Sale Duplex / Twin House 2 Bedrooms 2 Bathrooms 50 sqm. ,"Baliuag, Bulacan",₱ 2.59 million
For Sale Duplex / Twin House 3 Bedrooms 2 Bathrooms 246 sqm. ,"Quezon City / QC, Metro Manila",₱ 25.0 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 58 sqm. ,"San Fernando, Pampanga",₱ 2.73 million
For Sale Others 3 Bedrooms 2 Bathrooms 121 sqm. ,"Alfonso, Cavite",₱ 9.51 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 117 sqm. ,"Santa Rosa, Laguna",₱ 7.17 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 204 sqm. ,"Antipolo, Rizal",₱ 13.5 million
For Sale Single Detached House 5 Bedrooms 3 Bathrooms 166 sqm. ,"Cabanatuan, Nueva Ecija",₱ 10.4 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 180 sqm. ,"Las Piñas, Metro Manila",₱ 11.8 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 275 sqm. ,"Las Piñas, Metro Manila",₱ 45.0 million
For Sale Single Detached House 3 Bedrooms 1 Bathroom 42 sqm. ,"San Vicente, Camarines Norte",₱ 1.44 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 130 sqm. ,"Tanza, Cavite",₱ 8.78 million
For Sale Single Detached House 3 Bedrooms 1 Bathroom 43 sqm. ,"Tanza, Cavite",₱ 2.50 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 266 sqm. ,"Cebu City, Cebu",₱ 27.6 million
For Sale Townhouse 4 Bedrooms 5 Bathrooms 500 sqm. ,"Quezon City / QC, Metro Manila",₱ 48.8 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 90 sqm. ,"Tanza, Cavite",₱ 5.31 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 265 sqm. ,"Santa Rosa, Laguna",₱ 36.1 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 61 sqm. ,"San Pedro, Laguna",₱ 4.77 million
For Sale Single Attached House 3 Bedrooms 1 Bathroom 67 sqm. ,"San Pedro, Laguna",₱ 4.51 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 30 sqm. ,"Naic, Cavite",₱ 1.57 million
For Sale Duplex / Twin House 3 Bedrooms 1 Bathroom 58 sqm. ,"Baliuag, Bulacan",₱ 3.00 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 234 sqm. ,"Mactan, Lapu-Lapu, Cebu",₱ 16.0 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 622 sqm. ,"Cebu City, Cebu",₱ 78.0 million
For Sale Townhouse 4 Bedrooms 5 Bathrooms 490 sqm. ,"Parañaque, Metro Manila",₱ 42.4 million
For Sale Townhouse 5 Bedrooms 5 Bathrooms 249 sqm. ,"Cubao, Quezon City / QC, Metro Manila",₱ 22.8 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 63 sqm. ,"Dasmariñas, Cavite",₱ 6.09 million
For Sale Duplex / Twin House 3 Bedrooms 2 Bathrooms 53 sqm. ,"Antipolo, Rizal",₱ 5.00 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 212 sqm. ,"Antipolo, Rizal",₱ 16.5 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 180 sqm. ,"Cainta, Rizal",₱ 18.5 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 238 sqm. ,"Antipolo, Rizal",₱ 30.0 million
For Sale Duplex / Twin House 4 Bedrooms 5 Bathrooms 390 sqm. ,"San Juan, Metro Manila",₱ 51.8 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 45 sqm. ,"Panglao, Bohol",₱ 3.84 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 53 sqm. ,"Santa Maria, Bulacan",₱ 4.55 million
For Sale Others 1 Bedroom 1 Bathroom 30 sqm. ,"San Jose del Monte, Bulacan",₱ 2.25 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 179 sqm. ,"Biñan, Laguna",₱ 21.1 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 161 sqm. ,"Lipa, Batangas",₱ 8.63 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 66 sqm. ,"Bulakan, Bulacan",₱ 5.90 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 126 sqm. ,"Bacoor, Cavite",₱ 12.4 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 99 sqm. ,"Marilao, Bulacan",₱ 5.40 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 85 sqm. ,"Angeles, Pampanga",₱ 3.46 million
For Sale Single Attached House 3 Bedrooms 4 Bathrooms 190 sqm. ,"Pasig, Metro Manila",₱ 13.0 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 200 sqm. ,"Pasig, Metro Manila",₱ 13.8 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 200 sqm. ,"Cainta, Rizal",₱ 12.1 million
For Sale Others 5 Bedrooms 6 Bathrooms 336 sqm. ,"Mandaluyong, Metro Manila",₱ 15.0 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 125 sqm. ,"Quezon City / QC, Metro Manila",₱ 10.3 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 65 sqm. ,"Bacoor, Cavite",₱ 4.70 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 72 sqm. ,"Cagayan de Oro, Misamis Oriental",₱ 1.85 million
For Sale Rowhouse 1 Bedroom 1 Bathroom 22 sqm. ,"Numancia, Aklan",₱ 1.85 million
For Sale Single Attached House 4 Bedrooms 1 Bathroom 80 sqm. ,"Biñan, Laguna",₱ 4.46 million
For Sale 3 Bedrooms 2 Bathrooms 67 sqm. ,"Santa Rosa, Laguna",₱ 6.09 million
For Sale Others 5 Bedrooms 4 Bathrooms 150 sqm. ,"Davao City, Davao del Sur",₱ 5.60 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 36 sqm. ,"Cagayan de Oro, Misamis Oriental",₱ 2.22 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 368 sqm. ,"Las Piñas, Metro Manila",₱ 27.5 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 75 sqm. ,"Trece Martires, Cavite",₱ 6.22 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 85 sqm. ,"Angeles, Pampanga",₱ 3.46 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 120 sqm. ,"Tanza, Cavite",₱ 5.10 million
"For Sale Single Detached House 5 Bedrooms 4 Bathrooms 1,300 sqm. ","Alabang, Muntinlupa, Metro Manila",₱ 436 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 184 sqm. ,"Muntinlupa, Metro Manila",₱ 9.50 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 96 sqm. ,"Novaliches, Quezon City / QC, Metro Manila",₱ 5.05 million
For Sale Single Attached House 3 Bedrooms 4 Bathrooms 190 sqm. ,"Pasig, Metro Manila",₱ 13.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 349 sqm. ,"Las Piñas, Metro Manila",₱ 83.6 million
For Sale Townhouse 5 Bedrooms 5 Bathrooms 551 sqm. ,"Manila, Metro Manila",₱ 72.0 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 264 sqm. ,"Bacoor, Cavite",₱ 50.1 million
For Sale Single Attached House 4 Bedrooms 2 Bathrooms 119 sqm. ,"Antipolo, Rizal",₱ 10.0 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 200 sqm. ,"Pasig, Metro Manila",₱ 13.8 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 47 sqm. ,"Magalang, Pampanga",₱ 2.19 million
For Sale Single Attached House 4 Bedrooms 3 Bathrooms 137 sqm. ,"Fairview, Quezon City / QC, Metro Manila",₱ 8.03 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 200 sqm. ,"Cainta, Rizal",₱ 12.1 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 60 sqm. ,"General Trias, Cavite",₱ 5.08 million
For Sale Single Detached House 108 sqm. ,"Santa Rosa, Laguna",₱ 3.67 million
For Sale Townhouse 4 Bedrooms 5 Bathrooms 500 sqm. ,"Quezon City / QC, Metro Manila",₱ 48.8 million
