ProductDescription,ProductSpecs,Prices
"
                                        Samsung Galaxy A13 (6GB + 128GB) Awesome Black                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱10,990"
"
                                        Samsung Galaxy A73 5G (8GB + 256GB) Mint                                    ","
6.7-inch Full HD+, SD 778G 5G, 256GB, 5000mAh 
","₱28,990"
"
                                        Xiaomi Redmi Note 11 Pro 5G Atlantic Blue                                    ","
6.67-inch Full HD+, SD 695, 128GB, 5000mAh 
","₱17,499"
"
                                        Nokia 105 2019 Charcoal Black                                    ","
1.77-inch, S30+, 4MB, 800mAh 
",₱990
"
                                        Samsung Galaxy S22+ (8GB + 256GB) Pink Gold                                    ","
6.6-inch Full HD+, Snapdragon 895, 256GB, 4500mAh 
","₱60,990"
"
                                        Samsung Galaxy A73 5G (8GB + 128GB) Gray                                    ","
6.7-inch Full HD+, SD 778G 5G, 128GB, 5000mAh 
","₱26,990"
"
                                        Xiaomi Redmi Note 11S Graphite Gray                                    ","
6.43-inch Full HD+, MTK G96, 128GB, 5000mAh 
","₱13,499"
"
                                        Samsung Galaxy A13 (4GB + 128GB) Awesome Blue                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱9,990"
"
                                        Samsung Galaxy A23 LTE Awesome Blue                                    ","
6.6-inch Full HD+, SD 680, 128GB, 5000mAh 
","₱12,990"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 128GB) White                                    ","
6.4-inch Full HD+, Exynos 2100, 128GB, 4500mAh 
","₱34,990"
"
                                        Vivo V23E 5G Moonlit Shadow                                    ","
6.44-inch Full HD+, MTK D810, 128GB, 4050mAh 
","₱17,999"
"
                                        Vivo Y01 Sapphire Blue                                    ","
6.51-inch HD+, Helio P35, 32GB, 5000mAh 
","₱5,499"
"
                                        Samsung Galaxy A73 5G (8GB + 256GB) Gray                                    ","
6.7-inch Full HD+, SD 778G 5G, 256GB, 5000mAh 
","₱28,990"
"
                                        realme C25Y (4GB + 64GB) Glacier Blue                                    ","
6.5-inch HD+, Unisoc T618, 64GB, 5000mAh 
","₱6,999"
"
                                        realme 8i (6GB + 128GB) Space Black                                    ","
6.6-inch Full HD+, Helio G96, 128GB, 5000mAh 
","₱10,990"
"
                                        OPPO A96 Starry Black                                    ","
6.59-inch Full HD+, SD 680, 256GB, 5000mAh 
","₱15,999"
"
                                        Samsung Galaxy A73 5G (8GB + 128GB) Mint                                    ","
6.7-inch Full HD+, SD 778G 5G, 128GB, 5000mAh 
","₱26,990"
"
                                        Oppo A16 (4GB + 64GB) Pearl Blue                                    ","
6.52-inch HD, MTK Helio G35, 64GB, 5000mAh 
","₱8,199"
"
                                        Samsung Galaxy A73 5G (8GB + 256GB) White                                    ","
6.7-inch Full HD+, SD 778G 5G, 256GB, 5000mAh 
","₱28,990"
"
                                        Samsung Galaxy A23 LTE Awesome Peach                                    ","
6.6-inch Full HD+, SD 680, 128GB, 5000mAh 
","₱12,990"
"
                                        Samsung Galaxy A53 5G (8GB + 128GB) Black                                    ","
6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱21,490"
"
                                        Samsung Galaxy S22 (8GB + 256GB) Phantom Black                                    ","
6.1-inch Full HD+, Snapdragon 895, 256GB, 3700mAh 
","₱49,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Green                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy A53 5G (8GB + 128GB) Blue                                    ","
6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱21,490"
"
                                        realme 9 Pro 5G (8GB + 128GB) Sunrise Blue                                    ","
6.6-inch Full HD, SD 695 5G, 128GB, 5000mAh 
","₱16,990"
"
                                        Samsung Galaxy S22+ (8GB + 128GB) Green                                    ","
6.6-inch Full HD+, Snapdragon 895, 128GB, 4500mAh 
","₱56,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 256GB) Burgundy                                    ","
6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh 
","₱72,990"
"
                                        Vivo V23E 5G Sunshine Coast                                    ","
6.44-inch Full HD+, MTK D810, 128GB, 4050mAh 
","₱17,999"
"
                                        Samsung Galaxy S21+ 5G 256GB Phantom Silver                                    ","
6.7-inch Full HD+, Exynos 2100, 256GB, 4800mAh 
","₱57,990"
"
                                        OPPO A5 2020 Mirror Black                                    ","
6.5-inch HD+, Snapdragon 665, 5000mAh 
","₱10,498"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
256GB Midnight 
","₱36,990"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
128GB Midnight 
","₱30,490"
"
                                        realme 9 Pro 5G (8GB + 128GB) Aurora Green                                    ","
6.6-inch Full HD, SD 695 5G, 128GB, 5000mAh 
","₱16,990"
"
                                        Vivo Y21T Pearl White                                    ","
6.51-inch HD+, SD 680, 128GB, 5000mAh 
","₱10,999"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 128GB) Graphite                                    ","
6.4-inch Full HD+, Exynos 2100, 128GB, 4500mAh 
","₱34,990"
"
                                        Vivo Y76 5G (8GB + 128GB) Cosmic Aura                                    ","
6.58-inch Full HD+, Dimensity 700 5G, 128GB, 4100mAh 
","₱14,999"
"
                                        Vivo Y76 5G (8GB + 128GB) Midnight Space                                    ","
6.58-inch Full HD+, Dimensity 700 5G, 128GB, 4100mAh 
","₱14,999"
"
                                        Apple iPhone 13 Pro Max                                    ","
                                        128GB Gold                                        
","₱68,990"
"
                                        Apple iPhone 13 (PRODUCT)RED                                    ","
                                        512GB Red                                        
","₱68,990"
"
                                        realme GT Master Edition (8GB + 128GB) Daybreak Blue                                    ","
6.43-inch Full HD+, SD 778G 5G, 128GB, 4300mAh 
","₱18,990"
"
                                        Vivo V21 5G Sunset Dazzle                                    ","
6.44-inch Full HD+, MTK 800U, 128GB, 4000mAh 
","₱19,999"
"
                                        Apple iPhone 12                                    ","
64GB Purple 
","₱39,990"
"
                                        OPPO A92 Shining White                                    ","
6.5-inch IPS LCD Full HD+, SDM 665, 8GB, 5000mAh 
","₱13,990"
"
                                        Huawei P50 Cocoa Gold                                    ","
6.5-inch FHD+, SD 888 4G, 256GB, 4100mAh 
","₱39,999"
"
                                        Huawei Mate Xs 2 White                                    ","
7.8-inches OLED, SD 888 4G, 512GB, 4600mAh 
","₱99,999"
"
                                        Apple iPhone 11                                    ","
64GB Purple 
","₱27,490"
"
                                        Apple iPhone 13 Pro                                    ","
                                        512GB Gold                                        
","₱82,490"
"
                                        Apple iPhone 13 Pro                                    ","
                                        512GB Graphite                                        
","₱82,490"
"
                                        Huawei P50 Pro Golden Black                                    ","
6.6-inch Full HD+, SD 888 4G, 256GB, 4360mAh 
","₱45,999"
"
                                        Samsung Galaxy A13 (4GB + 128GB) Awesome Peach                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱9,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        256GB Pink                                        
","₱51,990"
"
                                        realme C35 (4GB + 128GB) Glowing Black                                    ","
6.6-inch FHD, Unisoc T616, 128GB, 5000mAh 
","₱9,499"
"
                                        Samsung Galaxy S22 Ultra (12GB + 512GB) Phantom Black                                    ","
6.8-inch Quad HD+, Snapdragon 895, 512GB, 5000mAh 
","₱80,990"
"
                                        Apple iPhone 13 (PRODUCT)RED                                    ","
                                        256GB Red                                        
","₱54,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        256GB Midnight                                        
","₱51,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Phantom Black                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Pink Gold                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 512GB) Phantom White                                    ","
6.8-inch Quad HD+, Snapdragon 895, 512GB, 5000mAh 
","₱80,990"
"
                                        Samsung Galaxy A73 5G (8GB + 128GB) White                                    ","
6.7-inch Full HD+, SD 778G 5G, 128GB, 5000mAh 
","₱26,990"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 128GB) Olive                                    ","
6.4-inch Full HD+, Exynos 2100, 128GB, 4500mAh 
","₱34,990"
"
                                        OPPO Reno6 5G Stellar Black                                    ","
6.43-inch Full HD, Dimensity 900U, 128GB, 4300mAh 
","₱23,999"
"
                                        OPPO Reno5 4G Starry Black                                    ","
6.43-inch HD Screen, Snapdragon 720G, 128GB, 4210mAH 
","₱18,999"
"
                                        OPPO A96 Pearl Pink                                    ","
6.59-inch Full HD+, SD 680, 256GB, 5000mAh 
","₱15,999"
"
                                        Xiaomi Redmi 10C (4GB + 64GB) Graphite Gray                                    ","
6.71-inch HD+, SD 680, 64GB, 5000mAh 
","₱6,699"
