ProductDescription,Prices
" Acer Swift 1 SF114-33-P31M Intel Pentium N5030
Intel Pentium N5030 1.10 GHz Quad-core, 14 inches Full HD, Intel UHD Graphics 605, 4GB DDR4, 512 GB SSD, Windows 10, with Keyboard Backlit. Pay only P 4,998 a Month for 6 months or
P 2,674 a Month for 12 months on major credit cards.
"," ₱ 29,990

"
" HP 14s-FQ1097AU AMD Ryzen 3 5300U
AMD Ryzen 3 5300U (up to 3.8 GHz max boost clock, 4 MB L3 cache, 4 cores, 8 threads), 4GB DDR4-2400 SDRAM, 256GB PCIe NVMe M.2 SSD, 14 inches diagonal FHD (1920 x 1080), AMD Radeon Graphics, Windows 11 
                        	Pay only P 2,824 a Month for 12 months or
P 5,348 a Month for 6 months on major credit cards.
						 FREE Memory upgrade to 12GB. Exclusive offer for Online Cash Buyers and Cash Buyers at Asianic (SM Manila, SM North Edsa, SM Masinag, SM Megamall & SM Mall of Asia) Valid until Sep 19, 2022.
"," ₱ 29,990


"
" Asus Vivobook M515DA-BR915T AMD Ryzen 3 3250U
AMD Ryzen 3 3250U Mobile Processor (2-core/4-thread, 5MB cache, up to 3.5 GHz max boost), 4GB DDR4 onboard, 4GB DDR4 SO-DIMM up to 12GB max, 256GB M.2 NVMe SSD +  1TB SATA HDD, 15.6-inch, FHD (1920 x 1080), AMD Radeon Graphics, Windows 10 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,995

"
" Asus M415DA-BV940W AMD Ryzen 3 3250U
AMD Ryzen 3 3250U Mobile Processor (2C/4T, 5MB Cache, 3.5 GHz Max Boost), 4GB DDR4 + 4GB onboard, 128GB M.2 NVMe PCIe 3.0 SSD + 1TB HDD, AMD Radeon Graphics, 14 inches, HD (1366 x 768), Windows 11 Home 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,995

"
" Asus M415DA-BV734T AMD Ryzen 3 3250U
AMD Ryzen 3 3250U 2.6 GHz (4M Cache, up to 3.5 GHz, 2 cores) Processor, 8GB (4GB DDR4 on board + 4GB DDR4 SO-DIMM) DDR4, 128GB M.2 NVMe SSD, 14 inches HD (1366x768) Display, AMD Radeon Graphics, Windows 10 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,995

"
" Asus X415EA-EK1177WS Intel Core i3 11th Gen
Inte Core i3-1115G4, 8GB DDR4, 256GB NVMe M.2 SSD, 14 inches FHD (1920 x 1080) Display, Intel UHD Graphics, Windows 11, Microsoft Office Home and Student 2021 (Pre-Installed) 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,995

"
" Lenovo Slim3 14ALC6 82KT002QPH Ryzen 3 5300U
AMD Ryzen 3 5300U (4C / 8T, 2.6 / 3.8GHz, 2MB L2 / 4MB L3), 8GB DDR4 (4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200), 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 14 inches FHD (1920x1080), Windows 10 Home 64 Pay only P 4,999 a Month for 6 months or
P 2,674 a Month for 12 months on major credit cards.
"," ₱ 29,995

"
" Acer Aspire 5 A514-54-35EB Intel Core i3 11th Gen
Intel Core i3-1115G4 (3.0 upto 4.1 Ghz / 6MB Smart Cache), 8GB DDR4 onboard (upto 24GB), 256GB NVMe SSD, 14 inches Full HD 1920 x 1080 LED Display, Intel UHD Graphics, Windows 11 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						 NOW! P28,999 Promo. Valid until August 15, 2022
"," ₱ 29,999

"
" Acer Aspire 3 A315-59-30AL Intel Core i3 12th Gen
Intel Core i3-1215U (10M Cache, up to 4.40 GHz, 6C/8T), 12GB DDR4, 256GB PCIe NVMe M.2 SSD, 15.6 inches FHD Display (4096 x 2304), Intel UHD Graphics, Windows 11 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,999

"
" Acer Aspire 5 A514-54-3918 Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, 8 GB of onboard DDR4, 256GB NVMe SSD, 14.0 inches display FHD 1920 x 1080, Intel UHD Graphics, Windos 10 Pay only P 4,999 a Month for 6 months or
P 2,674 a Month for 12 months on major credit cards.
"," ₱ 29,999

"
" Acer Travelmate P214-52-33WN Intel Core i3 10th Gen
Intel Core i3-10110U Processor 4M Cache, (2.1 GHz up to 4.10 GHz), 8GB DDR4 up to 32GB, 1TB HDD, Intel UHD Graphics, 14 Inches HD Display 1366 x 768, Windows 10 Home 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,999

"
" Acer Aspire 5 A514-54-37X8 Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz), 8GB onboard DDR4, 256GB NVMe SSD, 14 inches FHD (1920 x 1080), Windows 10 Pay only P 4,999 a Month for 6 months or
P 2,674 a Month for 12 months on major credit cards.
"," ₱ 29,999

"
" Acer Aspire 5 A514-54-347V / 36ZW Intel Core i3 11th Gen
Acer Aspire 5 A514-54-347V / 36ZW, 14 inches HD Display, Intel Core i3-1115G4, 4GB DDR4, 1TB HDD + 128GB SSD, Intel Iris Graphics, Windows 10 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						
"," ₱ 29,999

"
" Acer Aspire 5 A514-54-34UP Intel Core i3 11th Gen
Intel Core i3-1115G4 (4MB Smart Cache, 1.2 Ghz with Turbo Boost up to 3.4 Ghz, DDR4 or LPDDR4), 8GB onboard DDR4 memory, 256GB NVMe SSD, 14 inches display with IPS technology, Full HD 1920 x 1080 resolution, Intel UHD Graphics, Windows 11 
                        	Pay only P 2,824 a Month for 12 months or
P 5,349 a Month for 6 months on major credit cards.
						 NOW! P28,999 Promo. Valid until August 15, 2022
"," ₱ 29,999

"
" Acer Aspire 3 A315- 59- 30TH Intel Core I3- 1215U
Aspire 3 A315-59-30HT , 15.6 TFT LCD , i3-1215U , 8GB , 256GB SSD , Intel UHD Graphics , Win 11 
                        	Pay only P 2,872 a Month for 12 months or
P 5,439 a Month for 6 months on major credit cards.
						
"," ₱ 30,500

"
