,Region,Sqm,Bathrooms,Bedrooms,Cost
299,Pasig,36,1,0,7010000.0
300,Other NCR loc,61,1,0,15300000.0
301,Pasig,147,3,3,50000000.0
302,Pasig,111,2,2,29000000.0
303,Pasay,40,1,0,7900000.0
304,Pasay,86,2,3,30000000.0
305,Other NCR loc,25,1,0,6650000.0
306,VII,27,1,0,4200000.0
307,Mandaluyong,46,3,2,5000000.0
308,Other NCR loc,37,1,0,6500000.0
309,Quezon City,54,1,2,7500000.0
310,Pasig,31,1,0,4500000.0
311,Other NCR loc,56,1,2,4500000.0
312,Other NCR loc,190,3,3,3800000.0
313,VII,29,1,0,5770000.0
314,Pasay,21,1,0,7150000.0
315,Other NCR loc,32,1,0,3100000.0
316,Other NCR loc,32,1,0,11700000.0
317,Other NCR loc,65,1,2,5000000.0
318,IV A,24,1,0,3190000.0
319,Quezon City,177,3,4,8000000.0
320,Quezon City,73,2,2,7900000.0
321,Mandaluyong,81,2,3,6900000.0
322,III,136,3,3,35000000.0
323,VII,58,1,0,14300000.0
324,Other NCR loc,28,1,0,3870000.0
325,VII,22,1,0,3380000.0
326,VII,24,1,0,2860000.0
327,IV A,25,1,0,5430000.0
328,Other NCR loc,22,1,0,1820000.0
329,Other NCR loc,27,1,0,3910000.0
330,Pasig,21,1,0,7630000.0
331,Pasig,42,1,0,8500000.0
332,Quezon City,56,1,2,5600000.0
333,Other NCR loc,65,1,2,4500000.0
334,Taguig,98,2,3,13000000.0
335,Taguig,65,1,2,7200000.0
336,Pasig,42,1,0,8500000.0
337,IV A,28,1,0,2550000.0
338,VII,155,4,4,28300000.0
339,Quezon City,56,1,2,5600000.0
340,Other NCR loc,65,1,2,4500000.0
341,Taguig,98,2,3,13000000.0
342,Taguig,65,1,2,7200000.0
343,Benguet,56,1,2,10500000.0
344,Other NCR loc,25,1,0,4139999.9999999995
345,Taguig,24,1,0,3410000.0
346,VII,18,1,0,1940000.0
347,Pasig,146,3,3,9500000.0
348,Pasig,36,1,0,7010000.0
349,Pasay,40,1,0,7900000.0
350,IV A,37,2,0,7320000.0
351,Other City/Province,32,1,0,4000000.0
352,Other NCR loc,20,1,0,2900000.0
353,VII,56,1,0,1000000.0
355,Other NCR loc,30,1,2,2890000.0
356,Pasig,48,1,0,10900000.0
357,Quezon City,39,1,0,7000000.0
358,Mandaluyong,27,1,0,4650000.0
359,Quezon City,118,3,3,33000000.0
360,Quezon City,37,1,0,4800000.0
361,Mandaluyong,30,1,2,4000000.0
362,Mandaluyong,21,1,0,2650000.0
363,VII,36,1,0,8000000.0
364,VII,27,1,0,3300000.0
365,Quezon City,27,1,0,3200000.0
366,Other City/Province,40,1,0,12000000.0
367,Other NCR loc,30,1,0,6790000.0
368,Other NCR loc,30,1,2,3000000.0
369,Other NCR loc,24,1,0,2700000.0
370,III,33,1,0,6540000.0
371,IV A,64,2,2,7500000.0
372,Quezon City,29,1,0,5810000.0
374,VII,24,1,0,3000000.0
375,Pasig,34,1,0,6400000.0
376,Makati,24,1,0,7530000.0
377,III,105,2,2,8000000.0
378,III,50,1,0,8530000.0
379,Quezon City,23,1,0,2700000.0
380,Other NCR loc,24,1,0,4800000.0
381,Pasay,49,1,0,6500000.0
382,III,280,10,10,11500000.0
383,Other City/Province,38,1,0,3130000.0
384,Taguig,58,2,0,18000000.0
385,Muntinlupa,26,1,0,4960000.0
386,III,160,2,2,14000000.0
387,Pasay,26,1,0,5000000.0
388,Pasay,37,1,0,8860000.0
389,Other NCR loc,29,1,0,4000000.0
390,VII,22,1,0,2900000.0
391,Makati,72,1,0,23500000.0
392,Makati,102,3,2,30000000.0
393,Quezon City,32,1,0,5110000.0
