,Region,Sqm,Bathrooms,Bedrooms,Cost
1525,Taguig,40,1,0,12800000.0
1526,Other NCR loc,19,1,0,2400000.0
1527,Other City/Province,24,1,0,2720000.0
1528,Other City/Province,36,1,0,2320000.0
1529,Quezon City,84,1,2,13500000.0
1530,Other City/Province,39,1,0,6970000.0
1531,III,78,1,0,4900000.0
1532,III,105,2,2,7500000.0
1533,Pasig,31,1,0,8000000.0
1534,IV A,147,4,4,24800000.0
1535,VII,38,1,0,6450000.0
1536,VII,28,1,0,3500000.0
1537,VII,38,1,0,6450000.0
1538,Mandaluyong,43,1,2,6110000.0
1539,III,164,3,3,12500000.0
1540,Taguig,23,1,0,2800000.0
1541,Quezon City,40,1,0,4500000.0
1542,Other NCR loc,45,2,2,10000000.0
1543,Taguig,76,2,2,23000000.0
1544,Makati,25,1,0,5500000.0
1545,Taguig,40,1,0,12800000.0
1546,Taguig,38,1,0,9410000.0
1547,Pasay,32,1,0,1500000.0
1548,Other City/Province,24,1,0,2720000.0
1549,VII,69,1,2,11200000.0
1550,Pasig,147,2,3,53000000.0
1551,VII,22,1,0,4210000.0
1552,Other NCR loc,23,1,0,3820000.0
1553,VII,59,1,2,11000000.0
1554,VII,14,1,0,1610000.0
1555,Quezon City,23,1,0,2970000.0
1556,VII,22,1,0,2970000.0
1557,Mandaluyong,49,1,0,10200000.0
1558,VII,123,2,2,50000000.0
1559,Quezon City,27,1,0,7380000.0
1560,Taguig,60,1,0,18700000.0
1561,Pasig,68,1,2,4900000.0
1562,Pasig,55,1,2,3500000.0
1563,Mandaluyong,43,1,2,6110000.0
1564,Quezon City,23,1,0,2500000.0
1565,Quezon City,82,2,2,11700000.0
1566,Muntinlupa,18,1,0,8000000.0
1567,Mandaluyong,140,3,3,14100000.0
1568,Pasig,83,2,3,10500000.0
1569,IV A,48,1,4,3400000.0
1570,Quezon City,31,1,0,4000000.0
1571,Mandaluyong,27,1,0,5000000.0
1572,Pasay,52,1,2,7800000.0
1573,Taguig,140,2,2,40000000.0
1574,Other NCR loc,32,1,2,4330000.0
1575,Makati,31,1,0,6500000.0
1576,Muntinlupa,60,1,0,15000000.0
1577,Quezon City,78,2,2,11000000.0
1578,VII,60,1,0,9310000.0
1579,Mandaluyong,81,0,0,14700000.0
1580,VII,40,1,0,7000000.0
1581,Quezon City,37,1,0,8000000.0
1582,Other NCR loc,21,1,0,5700000.0
1583,IV A,40,1,2,2990000.0
1584,Taguig,140,2,2,40000000.0
1585,Quezon City,44,1,0,9000000.0
1586,VII,37,1,0,1500000.0
1587,Other NCR loc,32,1,2,4330000.0
1588,Quezon City,12,1,0,1690000.0
1589,Pasig,173,4,3,12000000.0
1590,Pasay,30,1,0,8000000.0
1591,Other NCR loc,21,1,0,2770000.0
1592,Other NCR loc,23,1,0,6000000.0
1593,Quezon City,241,4,4,30000000.0
1594,IV A,23,1,0,4500000.0
1595,Mandaluyong,58,2,2,10000000.0
1596,Taguig,37,1,0,10000000.0
1597,Other NCR loc,25,1,0,7350000.0
1598,IV A,139,2,3,27200000.0
1599,Quezon City,29,0,0,7000000.0
1600,Taguig,22,1,0,3880000.0
1601,Quezon City,24,1,0,913500.0
1602,Other NCR loc,50,1,2,6640000.0
1603,IV A,26,1,0,3490000.0
1604,Other NCR loc,25,1,0,5000000.0
1605,VII,52,2,2,10000000.0
1606,Taguig,89,2,2,18000000.0
1607,Quezon City,24,1,0,4600000.0
1608,VII,39,1,0,4670000.0
1609,Pasig,469,5,5,30000000.0
1610,Other City/Province,26,1,0,3560000.0
1611,Muntinlupa,152,3,3,24000000.0
1612,IV A,50,1,2,7000000.0
1613,VII,22,1,0,2620000.0
1614,Other NCR loc,48,1,0,17300000.0
1615,Quezon City,26,1,0,6900000.0
1616,VII,60,1,2,3800000.0
1617,IV A,24,1,0,2400000.0
1618,VII,24,1,0,3210000.0
1619,Other NCR loc,26,1,0,9000000.0
1620,Mandaluyong,24,1,0,6000000.0
1621,Pasig,32,1,0,7000000.0
1622,Quezon City,26,1,0,3500000.0
1623,Other NCR loc,30,1,2,3100000.0
1624,Other NCR loc,24,1,2,3310000.0
1625,IV A,104,2,3,20800000.0
1626,Other NCR loc,28,1,2,5000000.0
1627,Other NCR loc,22,1,0,3600000.0
1628,Other City/Province,46,1,0,6190000.0
1629,Other City/Province,38,1,0,5010000.0
1630,VII,28,1,0,3160000.0
1631,VII,24,1,0,2670000.0
1632,Taguig,140,2,3,48000000.0
1633,Pasay,58,1,2,10500000.0
1634,Other NCR loc,24,1,0,3100000.0
1635,Makati,46,0,0,10300000.0
1636,Pasig,24,1,0,3600000.0
1637,IV A,49,1,0,9000000.0
1638,Muntinlupa,32,1,0,2000000.0
1639,IV A,95,3,3,16100000.000000002
1640,Taguig,87,2,3,9700000.0
1641,Makati,62,1,2,7100000.0
1642,Makati,23,1,0,6600000.0
1643,Quezon City,58,1,2,7610000.0
1644,Makati,25,1,0,4800000.0
1645,Pasay,46,1,0,5500000.0
1646,Makati,29,1,0,4500000.0
1647,Pasay,27,1,0,3500000.0
1648,Quezon City,54,1,0,12000000.0
1649,Makati,30,1,0,8060000.000000001
1650,Quezon City,46,2,2,7500000.0
1651,Makati,35,1,0,7000000.0
1652,Other NCR loc,108,2,2,17000000.0
1653,Other NCR loc,182,3,3,25000000.0
1654,IV A,24,1,0,3110000.0
1655,III,22,1,0,5700000.0
1656,Other NCR loc,108,2,2,17000000.0
1657,Other NCR loc,182,3,3,25000000.0
1658,IV A,24,1,0,3110000.0
1659,Quezon City,13,1,0,2060000.0
1660,Makati,31,1,0,5500000.0
1661,Other City/Province,36,1,0,4050000.0
1662,III,22,1,0,5700000.0
1663,VII,21,1,0,3980000.0
1664,Muntinlupa,22,1,0,4700000.0
1665,Pasig,23,1,0,3700000.0
1666,Quezon City,35,1,0,4850000.0
1667,Muntinlupa,36,1,0,8000000.0
1668,Other NCR loc,25,1,0,5500000.0
1669,Mandaluyong,32,1,0,5470000.0
1670,Mandaluyong,38,1,0,3800000.0
1671,Makati,72,1,0,22000000.0
1672,Pasay,37,1,0,5200000.0
1673,Other City/Province,30,1,0,5730000.0
1674,Quezon City,32,1,0,6400000.0
1675,Pasay,36,1,0,11500000.0
1676,III,23,1,0,2500000.0
1677,Pasig,34,1,0,5300000.0
1678,Quezon City,29,1,0,4200000.0
1679,Other NCR loc,58,2,2,6700000.0
1680,Other NCR loc,58,2,2,6700000.0
1681,Taguig,87,2,2,20000000.0
1682,Other NCR loc,23,1,0,3700000.0
1683,Other NCR loc,38,1,0,12800000.0
1684,III,30,1,0,5810000.0
1685,Muntinlupa,24,1,0,3600000.0
1686,III,40,1,2,7820000.0
1687,IV A,22,1,0,4019999.9999999995
1688,Quezon City,23,1,0,3500000.0
1689,Mandaluyong,37,0,0,2960000.0
1690,Other NCR loc,141,3,2,35000000.0
1691,Taguig,65,2,3,8600000.0
1692,Pasay,124,2,3,26000000.0
1693,VII,120,3,3,18000000.0
1694,Quezon City,31,1,0,3470000.0
1695,Quezon City,41,1,2,4640000.0
1696,Taguig,100,2,2,25000000.0
1697,III,27,1,0,5630000.0
1698,VII,160,3,4,26600000.0
1699,Other NCR loc,65,3,2,9060000.0
1700,Pasay,29,1,0,8170000.0
1701,Other NCR loc,22,1,0,6220000.0
1702,VII,240,3,3,8500000.0
1703,Quezon City,21,1,0,2450000.0
1704,Mandaluyong,30,1,0,7980000.0
1705,Other NCR loc,141,3,2,38000000.0
1706,Makati,22,1,0,8260000.0
1707,IV A,28,1,0,2750000.0
1708,Pasay,23,1,0,6780000.0
1709,IV A,67,1,0,19100000.0
1710,IV A,70,1,0,8000000.0
1711,IV A,30,1,0,5420000.0
1712,III,47,1,0,9180000.0
1713,Quezon City,30,1,0,6660000.0
1714,Makati,48,1,0,14200000.0
1715,IV A,24,1,0,6620000.0
1716,IV A,26,1,0,2800000.0
1717,IV A,160,3,10,5000000.0
1718,Pasig,75,0,0,25600000.0
1719,Other NCR loc,37,1,0,13000000.0
1720,Other NCR loc,21,1,0,6120000.0
1721,Pasay,27,1,0,9100000.0
1722,Taguig,94,3,2,20000000.0
1723,IV A,40,1,2,4220000.0
1724,Quezon City,25,1,0,2800000.0
1725,Pasig,128,2,3,20000000.0
1726,Pasig,83,2,3,12500000.0
1728,Pasig,128,2,3,20000000.0
1730,Pasig,40,1,0,2200000.0
1731,IV A,123,1,3,13600000.0
1732,Quezon City,27,1,0,5000000.0
1733,Other NCR loc,22,1,0,3200000.0
1734,Quezon City,23,1,0,5870000.0
1735,IV A,148,2,2,18500000.0
1736,Taguig,37,1,0,9100000.0
1737,Taguig,37,1,0,9500000.0
1738,Quezon City,29,1,0,2940000.0
1739,Quezon City,30,1,0,2500000.0
1740,Quezon City,67,2,4,8140000.000000001
1741,Quezon City,33,1,0,4250000.0
1742,Makati,72,1,0,23500000.0
1743,Pasig,74,2,2,12500000.0
1744,VII,24,1,0,2670000.0
1745,VII,24,1,0,2670000.0
1746,Mandaluyong,58,1,2,7400000.0
1747,IV A,25,1,0,3000000.0
1748,Taguig,130,3,3,30000000.0
1749,Mandaluyong,157,3,3,60000000.0
1750,Benguet,24,1,0,6500000.0
1751,VII,20,1,0,8500000.0
1752,Pasig,74,2,2,12500000.0
1753,IV A,20,1,0,3760000.0
1754,Makati,40,1,0,7900000.0
1755,Taguig,122,2,2,25500000.0
1756,III,150,7,10,14000000.0
1757,Quezon City,56,1,2,6800000.0
1758,Makati,91,3,2,25000000.0
1759,Makati,121,2,3,36500000.0
1760,Makati,224,4,4,46000000.0
1761,VII,25,1,0,4500000.0
1762,Quezon City,33,1,2,4010000.0
1763,Makati,36,1,0,6900000.0
1764,Taguig,85,2,2,22000000.0
1765,Other NCR loc,27,1,0,3340000.0
1766,Mandaluyong,38,1,0,4500000.0
1767,Makati,59,3,2,7500000.0
1768,Taguig,136,3,2,62000000.0
1769,Other City/Province,55,1,2,4500000.0
1770,IV A,37,1,0,4700000.0
1771,VII,22,1,0,3000000.0
1772,Quezon City,86,2,3,10600000.0
1773,Quezon City,45,1,2,12000000.0
1774,VII,31,0,0,4300000.0
1775,Quezon City,62,1,0,6500000.0
1776,Quezon City,30,1,0,6600000.0
1777,Quezon City,202,3,3,38800000.0
1778,IV A,26,1,0,3000000.0
1779,Quezon City,24,1,0,2700000.0
1780,Taguig,34,1,0,7500000.0
1781,Taguig,71,3,2,13800000.0
1782,Mandaluyong,36,1,0,5000000.0
1783,Makati,79,2,2,15500000.0
1784,VII,25,1,0,2500000.0
1785,Other NCR loc,49,1,2,4260000.0
1786,Makati,30,1,0,6530000.0
1787,Quezon City,36,1,2,4099999.9999999995
1788,Taguig,39,1,0,3390000.0
1789,Taguig,85,2,2,25500000.0
1790,Quezon City,40,1,0,5030000.0
1791,Taguig,37,1,0,8970000.0
1792,III,36,1,0,6410000.0
1793,III,627,10,20,13000000.0
1794,Taguig,123,2,3,35000000.0
1795,Quezon City,24,1,0,5620000.0
1796,IV A,30,1,0,3000000.0
1797,Quezon City,23,1,0,2850000.0
1798,IV A,63,2,2,11900000.0
1799,Makati,75,2,2,29600000.0
1800,Taguig,71,3,2,13800000.0
1801,Mandaluyong,36,1,0,5000000.0
1802,Taguig,40,1,0,6800000.0
1803,Taguig,36,1,0,7200000.0
1804,Taguig,71,2,3,6390000.0
1805,Taguig,65,1,2,5500000.0
1806,Quezon City,52,1,2,6450000.0
1807,Pasig,37,1,2,5280000.0
1808,Other City/Province,27,1,0,5000000.0
1809,Taguig,73,2,2,14100000.0
1810,Taguig,40,1,0,3470000.0
1811,Taguig,57,2,3,4590000.0
1812,Benguet,53,1,2,6700000.0
1813,Quezon City,29,1,0,6500000.0
1814,IV A,30,1,2,3500000.0
1815,Other NCR loc,24,1,0,4000000.0
1816,IV A,63,2,2,11900000.0
1817,Makati,75,2,2,29600000.0
1818,IV A,22,1,0,3960000.0
1819,Makati,181,4,3,44400000.0
1820,IV A,34,1,2,4290000.0
1821,Other City/Province,20,1,0,4210000.0
1822,Quezon City,41,1,2,4000000.0
1823,III,112,2,2,9000000.0
1824,IV A,22,1,0,3960000.0
1825,Makati,181,4,3,44400000.0
1826,Other City/Province,20,1,0,4210000.0
1827,Quezon City,41,1,2,4000000.0
1828,Other City/Province,38,1,0,7000000.0
1829,Benguet,25,1,0,4030000.0000000005
1830,Pasay,38,1,0,10800000.0
1831,Other NCR loc,69,2,3,7200000.0
1832,Quezon City,45,1,0,9800000.0
1833,Quezon City,25,1,0,5220000.0
1834,Quezon City,35,1,0,8210000.000000001
1835,Other City/Province,23,1,0,3700000.0
1836,III,40,1,2,7500000.0
1837,Quezon City,36,1,2,6590000.0
1838,Other NCR loc,30,1,0,3010000.0
1839,Taguig,145,2,2,57000000.0
1840,Other City/Province,31,1,2,5670000.0
1841,Other City/Province,24,1,0,4000000.0
1842,IV A,33,1,0,5900000.0
1843,Other City/Province,24,1,0,3790000.0
1844,VII,21,1,0,3200000.0
1845,IV A,60,2,2,10000000.0
1846,IV A,18,1,0,2710000.0
1847,VII,14,1,0,1610000.0
1848,Pasig,30,1,2,2890000.0
1849,VII,24,1,0,2580000.0
1850,Quezon City,25,1,0,3360000.0
1851,Other NCR loc,82,2,3,5000000.0
1852,Mandaluyong,61,1,0,15300000.0
1853,Makati,70,2,2,23000000.0
1854,Pasig,108,2,3,22300000.0
1855,Taguig,32,1,0,11500000.0
1856,Pasay,56,1,2,5680000.0
1857,Mandaluyong,51,1,0,8930000.0
1858,VII,25,1,2,1500000.0
1859,Quezon City,22,1,0,2800000.0
1860,Other NCR loc,39,1,2,4800000.0
1861,VII,21,1,0,2800000.0
1862,IV A,15,1,0,3600000.0
1863,Other NCR loc,16,1,0,1920000.0
1864,Makati,26,1,0,8000000.0
1865,Pasig,134,4,3,17500000.0
1866,Quezon City,26,1,0,3000000.0
1867,Pasig,134,3,3,17000000.0
1868,Quezon City,20,1,0,4330000.0
1869,VII,35,1,2,3200000.0
1870,Taguig,140,2,2,42000000.0
1871,Taguig,40,1,0,11600000.0
1872,Pasig,40,1,0,3470000.0
1873,Pasig,40,1,0,4500000.0
1874,Pasig,55,2,2,7500000.0
1875,Pasig,100,3,2,26000000.0
1876,Makati,24,2,2,7040000.0
1877,III,35,1,0,8119999.999999999
1878,IV A,30,1,0,5700000.0
1879,Taguig,59,2,2,11500000.0
1880,Quezon City,44,1,2,7320000.0
1881,Benguet,300,3,8,18500000.0
1882,Other NCR loc,66,2,0,15300000.0
1883,IV A,28,1,0,5290000.0
1884,Other NCR loc,30,1,2,4400000.0
1885,Makati,27,1,0,6000000.0
1886,Makati,141,4,3,50000000.0
1887,Makati,137,2,2,24000000.0
1888,Mandaluyong,31,1,2,5600000.0
1889,Mandaluyong,30,1,2,4700000.0
1890,Quezon City,44,1,2,7320000.0
1891,Pasig,42,1,0,8100000.0
1892,Taguig,114,2,4,15000000.0
1893,Taguig,98,2,2,27000000.0
1894,Pasig,57,1,2,4420000.0
1895,Taguig,129,3,3,22000000.0
1896,Makati,66,2,0,17000000.0
1897,VII,21,1,0,3160000.0
1898,Pasig,56,1,0,8800000.0
1899,Pasig,57,1,2,4420000.0
1900,Pasay,40,1,0,10700000.0
1901,Quezon City,30,1,0,3800000.0
1902,Quezon City,42,2,3,5710000.0
1903,Taguig,82,1,0,25000000.0
1904,Makati,71,2,2,17000000.0
1905,Pasig,22,1,0,5400000.0
1906,Mandaluyong,20,1,0,4700000.0
1907,Taguig,51,1,0,12500000.0
1908,Makati,66,2,0,19500000.0
1909,Other NCR loc,42,1,2,6500000.0
1910,VII,52,1,0,12000000.0
1911,Pasig,62,1,0,9400000.0
1912,IV A,26,1,0,1770000.0
1913,IV A,36,1,2,2200000.0
1914,Pasig,31,1,0,5400000.0
1915,VII,155,2,3,24400000.0
1916,Makati,108,2,2,16000000.0
1917,VII,37,1,2,2400000.0
1918,Pasig,34,1,2,4500000.0
1919,Taguig,91,3,4,25000000.0
1920,VII,37,1,2,2400000.0
1921,Pasig,65,1,0,22300000.0
1922,Taguig,91,3,4,25000000.0
1923,Other NCR loc,23,1,0,4000000.0
1924,Pasig,42,1,2,6700000.0
1925,Makati,30,1,0,8000000.0
1926,Pasig,40,1,0,5200000.0
1927,VII,37,1,0,1400000.0
1928,Pasig,37,1,2,5130000.0
1929,Taguig,56,1,2,6000000.0
1930,Mandaluyong,73,2,3,7430000.0
1931,Other NCR loc,30,1,0,6800000.0
1932,Quezon City,67,1,2,13500000.0
1933,Other NCR loc,48,1,2,6100000.0
1934,Other NCR loc,19,1,0,1900000.0
1935,IV A,25,1,0,2600000.0
1936,Mandaluyong,13,1,0,2200000.0
1937,Other NCR loc,20,1,0,3100000.0
1938,Other NCR loc,21,1,0,5980000.0
1939,III,55,2,2,6750000.0
1940,Mandaluyong,20,1,0,2500000.0
1941,Makati,39,1,0,6500000.0
1942,Pasig,42,1,2,6740000.0
1943,Pasig,39,1,0,6900000.0
1944,Quezon City,48,1,2,7000000.0
1945,Makati,137,2,2,38000000.0
1946,Other NCR loc,30,1,0,6970000.0
1947,Taguig,69,1,2,18500000.0
1948,Other NCR loc,45,1,2,6240000.0
1949,IV A,18,1,0,3470000.0
1950,Taguig,60,1,0,17100000.0
1951,Other NCR loc,29,1,0,4690000.0
1952,Other City/Province,30,1,0,3250000.0
1953,Quezon City,47,1,0,9860000.0
1954,Other NCR loc,75,1,2,4600000.0
1955,Other NCR loc,30,1,0,4099999.9999999995
1956,Other City/Province,38,1,0,6500000.0
1957,IV A,25,1,0,4780000.0
1958,Taguig,135,2,2,49500000.0
1959,Other NCR loc,37,1,0,12900000.0
1960,Other NCR loc,37,1,0,11900000.0
1961,VII,26,1,0,3120000.0
1962,VII,54,2,2,5960000.0
1963,Other City/Province,24,1,0,2410000.0
1964,Taguig,42,1,0,11000000.0
1965,Taguig,37,1,0,10600000.0
1966,IV A,21,1,0,2400000.0
1967,Makati,43,1,2,6500000.0
1968,Taguig,130,3,3,36200000.0
1969,Makati,95,2,2,8890000.0
1970,VII,29,1,0,2560000.0
1971,Makati,26,1,0,8039999.999999999
1972,Pasay,21,1,0,4260000.0
1973,IV A,18,1,0,3180000.0
1974,Pasay,44,1,0,6900000.0
1975,VII,29,1,0,2700000.0
1976,Pasig,59,1,2,3600000.0
1977,Quezon City,45,1,2,7390000.0
1978,Other NCR loc,386,1,0,23000000.0
1979,Other City/Province,21,1,0,5080000.0
1980,Pasig,30,1,2,2800000.0
1981,Taguig,36,1,0,7500000.0
1982,Quezon City,26,1,0,3500000.0
1983,Pasig,24,1,0,3290000.0
1984,Other City/Province,37,1,0,6280000.0
1985,Makati,65,2,2,20200000.0
1986,Quezon City,30,1,2,5000000.0
1987,Taguig,67,2,2,19200000.0
1988,Pasig,44,1,0,11000000.0
1989,Other City/Province,22,1,0,3290000.0
1990,IV A,22,1,0,4410000.0
1991,Pasig,25,1,0,3700000.0
1992,Pasig,25,1,0,3700000.0
1993,Muntinlupa,24,1,0,3500000.0
1994,Mandaluyong,30,1,0,5000000.0
1995,Other NCR loc,152,3,3,35000000.0
1996,VII,21,1,0,1620000.0
1997,IV A,34,1,2,4300000.0
1998,Other City/Province,30,1,0,3950000.0
1999,IV A,28,1,0,2800000.0
2000,Other City/Province,28,1,0,6410000.0
2001,Other NCR loc,30,1,0,3800000.0
2002,Other NCR loc,122,2,3,25800000.0
2003,III,30,1,0,5780000.0
2004,Other NCR loc,30,1,0,5490000.0
2005,Other City/Province,24,1,2,4000000.0
2006,VII,65,1,2,6000000.0
2007,IV A,24,1,0,3300000.0
2008,VII,24,1,0,2540000.0
2009,III,56,1,0,7200000.0
2010,III,30,1,0,5750000.0
2011,Quezon City,36,1,2,8130000.000000001
2012,Makati,48,1,0,11000000.0
2013,Pasig,30,1,2,3100000.0
2014,Pasig,30,1,2,3130000.0
2015,Other NCR loc,23,1,0,3980000.0
2016,Quezon City,320,4,4,12000000.0
2017,Quezon City,203,3,3,45000000.0
2018,Other NCR loc,127,3,4,3000000.0
2019,Other NCR loc,30,1,2,2440000.0
2020,Other NCR loc,35,1,2,6780000.0
2021,Other NCR loc,47,1,2,7300000.0
2022,Pasig,56,1,2,4200000.0
2023,Pasay,24,1,0,6890000.0
2024,VII,32,1,0,1700000.0
2025,IV A,16,1,0,2290000.0
2026,IV A,30,1,0,4960000.0
2027,Other NCR loc,49,1,2,4970000.0
2028,Other NCR loc,28,1,0,3000000.0
2029,Mandaluyong,36,1,2,6600000.0
2030,Mandaluyong,48,1,2,6500000.0
2031,Mandaluyong,70,2,2,6900000.0
2032,Muntinlupa,105,3,2,30000000.0
2034,Pasig,103,3,3,25000000.0
2035,Quezon City,36,1,0,3500000.0
2036,Other NCR loc,45,1,2,18000000.0
2037,Pasay,23,1,0,5770000.0
2038,Pasig,30,1,2,2900000.0
2039,Pasig,30,1,2,3160000.0
2040,Pasig,30,1,2,3160000.0
2041,Pasig,30,1,2,2900000.0
2042,Pasig,30,1,2,3160000.0
2043,Pasig,30,1,2,2700000.0
2044,VII,99,2,2,27900000.0
2045,Pasig,30,1,2,3200000.0
2046,Pasig,42,1,3,4300000.0
2047,IV A,33,1,2,4179999.9999999995
2048,Pasig,89,2,2,5950000.0
2049,Quezon City,120,4,3,10800000.0
2050,Quezon City,23,1,0,4090000.0
2051,III,48,1,0,11300000.0
2052,Pasig,41,1,2,6980000.0
2053,III,82,1,2,19100000.0
2054,Other NCR loc,24,1,0,4820000.0
2055,Taguig,99,2,2,32900000.0
2056,Mandaluyong,50,1,2,8000000.0
2057,Makati,26,1,0,4590000.0
2058,Taguig,38,0,0,11500000.0
2059,IV A,90,3,3,7240000.0
2060,Makati,89,2,2,22500000.0
2061,Makati,91,2,2,25000000.0
2062,Taguig,67,1,0,18500000.0
2063,Pasig,32,1,0,2500000.0
2064,Taguig,67,1,0,18500000.0
2065,Makati,48,1,0,11000000.0
2067,Taguig,94,2,2,19500000.0
2068,Pasig,30,1,2,3240000.0
2070,IV A,67,1,0,19100000.0
2071,IV A,68,1,0,21300000.0
2072,IV A,45,1,0,12900000.0
2073,Other NCR loc,30,1,2,2500000.0
2074,Makati,29,2,2,5840000.0
2075,IV A,40,1,2,4000000.0
2076,Other NCR loc,52,1,3,6000000.0
2077,Muntinlupa,32,1,0,6090000.0
2078,VII,36,1,0,3520000.0
2079,Other City/Province,22,1,0,4380000.0
2080,VII,26,1,0,4470000.0
2081,Makati,33,1,0,3630000.0
2082,Other NCR loc,110,2,3,23400000.0
2083,IV A,24,1,0,2500000.0
2084,Other NCR loc,21,1,0,2560000.0
2085,Mandaluyong,38,1,2,6780000.0
2086,Other NCR loc,43,1,2,7300000.0
2087,Benguet,365,4,13,15000000.0
2088,Quezon City,42,1,2,5000000.0
2089,Pasay,36,1,0,8500000.0
2090,IV A,28,1,0,4500000.0
2091,Quezon City,22,1,2,4000000.0
2092,Quezon City,245,3,3,31300000.0
2093,Taguig,40,1,2,6700000.0
2094,Other NCR loc,33,1,2,4420000.0
2095,Muntinlupa,44,1,2,6740000.0
2096,Makati,22,1,0,6000000.0
2097,Other NCR loc,38,1,2,6120000.0
2098,Taguig,66,1,0,21400000.0
2099,IV A,22,1,0,5850000.0
2100,Quezon City,50,1,2,6640000.0
2101,IV A,60,2,2,5000000.0
2102,Quezon City,28,1,0,5560000.0
2103,Quezon City,23,1,0,4480000.0
2104,Makati,40,1,0,7000000.0
2105,Quezon City,24,1,0,6980000.0
2106,Other NCR loc,42,1,2,5210000.0
2107,III,112,2,2,7500000.0
2108,III,41,1,0,3200000.0
2109,III,600,4,2,15000000.0
2110,Makati,34,1,0,6900000.0
2111,VII,60,1,0,8720000.0
2112,III,43,1,0,3000000.0
2113,Other NCR loc,94,2,3,13000000.0
2114,III,41,1,0,3200000.0
2115,III,78,1,0,5000000.0
2116,Pasig,53,1,2,9190000.0
2117,Pasig,34,1,0,5340000.0
2118,Pasig,32,1,0,5270000.0
2119,Quezon City,59,1,2,5200000.0
2120,VII,32,1,0,6040000.0
2121,VII,72,2,2,8500000.0
2122,VII,45,1,2,6550000.0
2123,VII,40,1,0,7320000.0
2124,III,46,1,0,9000000.0
2125,VII,32,1,0,4580000.0
2126,III,52,1,0,8890000.0
2127,VII,29,1,2,5770000.0
2128,Other City/Province,146,5,4,27100000.0
2129,Quezon City,54,1,2,6470000.0
2130,Quezon City,23,1,0,4860000.0
2131,Pasig,31,1,0,3700000.0
2132,Makati,47,1,0,12000000.0
2133,Makati,47,1,0,12500000.0
2134,Makati,130,2,2,32000000.0
2135,Makati,76,1,0,15000000.0
2136,Pasig,48,1,2,7000000.0
2137,Quezon City,47,2,2,6650000.0
2138,VII,23,1,0,2720000.0
2139,VII,36,1,2,4750000.0
2140,VII,40,1,0,4490000.0
2141,Other NCR loc,30,1,0,6800000.0
2142,Taguig,140,2,2,54000000.0
2143,VII,65,1,0,9060000.0
2144,Makati,115,2,2,45000000.0
2145,Taguig,140,2,2,58000000.0
2146,Mandaluyong,77,1,0,14500000.0
2147,VII,37,1,0,5100000.0
2148,Quezon City,44,1,2,7320000.0
2149,VII,28,1,0,4280000.0
2150,VII,60,1,2,13700000.0
2151,VII,42,1,3,4130000.0
2152,VII,54,1,0,8500000.0
2153,VII,86,2,3,17400000.0
2154,VII,103,3,3,25400000.0
2155,VII,54,1,0,13400000.0
2156,VII,35,2,2,3260000.0
2157,VII,42,1,3,4170000.0
2159,Other NCR loc,255,1,2,8500000.0
2160,VII,35,2,2,3260000.0
2161,VII,42,1,3,4170000.0
2162,VII,25,1,0,3340000.0
2163,VII,64,1,0,14100000.0
2164,VII,59,2,2,9990000.0
2165,VII,24,1,0,3500000.0
2166,Other NCR loc,255,1,2,8500000.0
2167,VII,65,1,0,15000000.0
2168,VII,30,1,0,3180000.0
2169,VII,79,2,2,13300000.0
2170,Taguig,23,1,0,3500000.0
2171,Other City/Province,56,2,3,7400000.0
2172,III,740,16,16,25000000.0
2173,Muntinlupa,42,2,3,5000000.0
2174,Mandaluyong,56,1,2,10500000.0
2175,Quezon City,74,2,3,11500000.0
2176,Quezon City,21,1,0,3080000.0
2177,Quezon City,36,1,0,6000000.0
2178,Taguig,41,1,0,9960000.0
2179,Taguig,76,1,2,6840000.0
2180,Muntinlupa,22,1,0,3100000.0
2181,Quezon City,43,2,2,7300000.0
2182,VII,56,1,2,13600000.0
2183,Pasig,21,1,0,5500000.0
2184,Quezon City,43,2,2,7300000.0
2185,Benguet,26,1,0,7070000.0
2186,Pasay,63,3,2,10000000.0
2187,Other NCR loc,20,1,0,4019999.9999999995
2188,Quezon City,48,1,2,3400000.0
2189,Pasig,32,1,0,4300000.0
2190,Other NCR loc,25,1,0,6660000.0
2191,Other NCR loc,21,1,0,6270000.0
2192,Pasig,30,1,0,6400000.0
2193,Other City/Province,19,1,0,2740000.0
2194,Pasig,40,1,0,12000000.0
2195,Quezon City,21,1,0,2300000.0
2196,Benguet,42,1,0,11100000.0
2197,Quezon City,43,1,2,3400000.0
2198,Quezon City,28,1,0,3700000.0
2199,Quezon City,30,1,0,2100000.0
2200,Other NCR loc,27,1,2,4110000.0000000005
2201,Quezon City,39,2,2,2600000.0
2202,III,20,1,0,2820000.0
2203,Quezon City,32,1,0,5110000.0
2204,Makati,26,1,0,4700000.0
2205,Other City/Province,28,1,0,5720000.0
2206,Pasig,37,1,2,5210000.0
2207,Quezon City,88,3,2,23000000.0
2208,Makati,21,1,0,4200000.0
2209,Pasig,45,1,2,5790000.0
2210,Makati,43,1,0,7500000.0
2211,Other NCR loc,34,1,0,7000000.0
2212,Mandaluyong,60,1,2,7200000.0
2213,Other NCR loc,116,2,3,6800000.0
2214,Other NCR loc,97,2,2,8800000.0
2215,Mandaluyong,54,1,2,6800000.0
2216,Other NCR loc,78,2,2,14000000.0
2217,Taguig,91,2,2,19500000.0
