,HouseDescription,Address,Cost,City/Province,Sqm,ZscoreCost,ZscoreSQM
32,"For Sale Agricultural Farm 6,000 sqm. ","Villasis, Pangasinan",15000000.0,Pangasinan,6000,-0.06644589055807422,-0.10379722900257098
33,"For Sale Agricultural Farm 11,427 sqm. ","Indang, Cavite",35000000.0,Cavite,11427,-0.06231710891177356,-0.08885712741663394
34,"For Sale Agricultural Farm 40,000 sqm. ","Umingan, Pangasinan",7200000.0,Pangasinan,40000,-0.06805611540013147,-0.010197919269410969
35,"For Sale Agricultural Farm 40,000 sqm. ","Tayug, Pangasinan",12000000.0,Pangasinan,40000,-0.06706520780501932,-0.010197919269410969
36,"For Sale Agricultural Farm 1,003,000 sqm. ","Bugallon, Pangasinan",181000000.0,Pangasinan,1003000,-0.032177002893778804,2.6408648828786214
37,For Sale Agricultural Farm 300 sqm. ,"Indang, Cavite",1200000.0,Cavite,300,-0.06929474989402166,-0.1194888779872478
38,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1500000.0,Quezon,1000,-0.06923281816932715,-0.11756183337509452
39,"For Sale Others 25,526 sqm. ","San Jose, Tarlac",14000000.0,Tarlac,25526,-0.06665232964038925,-0.050043696006992086
40,"For Sale Agricultural Farm 131,668 sqm. ","Mabini, Pangasinan",15800000.0,Pangasinan,131668,-0.0662807392922222,0.24215683145468644
41,"For Sale Agricultural Farm 154,839 sqm. ","San Jose, Tarlac",40300000.0,Tarlac,154839,-0.06122298177550389,0.30594476103783497
42,"For Sale Agricultural Farm 14,000 sqm. ","Unisan, Quezon",1800000.0,Quezon,14000,-0.06917088644463265,-0.08177386200653333
43,For Sale Agricultural Farm 500 sqm. ,"Concepcion, Tarlac",650000.0,Tarlac,500,-0.06940829138929493,-0.11893829381234687
44,"For Sale Residential Farm 1,037 sqm. ","Tuy, Batangas",1380000.0,Batangas,1037,-0.06925759085920496,-0.11745997530273784
45,"For Sale Agricultural Farm 114,000 sqm. ","Umingan, Pangasinan",7980000.0,Pangasinan,114000,-0.06789509291592574,0.1935182254439373
46,"For Sale Agricultural Farm 439,901 sqm. ","San Ildefonso, Bulacan",167000000.0,Bulacan,439901,-0.035067150046189266,1.0906978913658956
47,"For Sale Agricultural Farm 10,000 sqm. ","Lipa, Batangas",50000000.0,Batangas,10000,-0.059220522677048075,-0.09278554550455216
48,"For Sale Agricultural Farm 10,000 sqm. ","Lipa, Batangas",50000000.0,Batangas,10000,-0.059220522677048075,-0.09278554550455216
49,"For Sale Agricultural Farm 100,000 sqm. ","Mabini, Pangasinan",12000000.0,Pangasinan,100000,-0.06706520780501932,0.1549773332008714
50,For Sale Residential Farm 583 sqm. ,"Amadeo, Cavite",2700000.0,Cavite,583,-0.06898509127054912,-0.11870980137976297
51,"For Sale Agricultural Farm 1,000 sqm. ","Tuy, Batangas",1320000.0,Batangas,1000,-0.06926997720414386,-0.11756183337509452
52,"For Sale Agricultural Farm 154,839 sqm. ","San Jose, Tarlac",40300000.0,Tarlac,154839,-0.06122298177550389,0.30594476103783497
53,"For Sale Agricultural Farm 8,111 sqm. ","San Miguel, Bohol",4000000.0,Bohol,8111,-0.06871672046353958,-0.09798581303649155
54,"For Sale Agricultural Farm 60,000 sqm. ","Coron, Palawan",1700000.0,Palawan,60000,-0.06919153035286416,0.04486049822068316
55,"For Sale Agricultural Farm 439,901 sqm. ","San Ildefonso, Bulacan",167000000.0,Bulacan,439901,-0.035067150046189266,1.0906978913658956
