,Brand,StorageCapacity,ScreenSize,BatteryCap,Prices
363,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,21999.0
364,Samsung,256GB,6.5-6.99 inches,5000+mAh,23990.0
365,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,19990.0
366,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,19990.0
367,Samsung,256GB,6.0-6.5 inches,4201mAh-4999mAh,23990.0
368,Samsung,256GB,6.0-6.5 inches,4201mAh-4999mAh,21990.0
369,Samsung,256GB,6.0-6.5 inches,4201mAh-4999mAh,21990.0
370,realme,128GB,6.0-6.5 inches,5000+mAh,8990.0
371,realme,128GB,6.0-6.5 inches,5000+mAh,8990.0
376,Samsung,64GB,6.0-6.5 inches,5000+mAh,7490.0
377,Samsung,128GB,6.5-6.99 inches,5000+mAh,22990.0
378,Samsung,128GB,6.5-6.99 inches,5000+mAh,22990.0
379,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,15490.0
380,Xiaomi,32GB,6.5-6.99 inches,5000+mAh,4799.0
381,realme,64GB,6.0-6.5 inches,5000+mAh,6490.0
382,Xiaomi,64GB,6.5-6.99 inches,5000+mAh,5899.0
383,OPPO,128GB,6.0-6.5 inches,4201mAh-4999mAh,23999.0
387,Samsung,128GB,6.0-6.5 inches,5000+mAh,13490.0
389,realme,Others,6.0-6.5 inches,3700mAh-4200mAh,10998.0
390,Samsung,256GB,6.0-6.5 inches,4201mAh-4999mAh,21990.0
391,Vivo,128GB,6.5-6.99 inches,5000+mAh,6498.0
393,OPPO,32GB,6.5-6.99 inches,4201mAh-4999mAh,6499.0
394,Samsung,64GB,6.0-6.5 inches,5000+mAh,7490.0
395,Samsung,128GB,6.5-6.99 inches,5000+mAh,12990.0
396,ASUS,128GB,6.5-6.99 inches,5000+mAh,32990.0
398,realme,256GB,6.0-6.5 inches,4201mAh-4999mAh,22190.0
399,OPPO,128GB,6.0-6.5 inches,5000+mAh,11999.0
400,Samsung,128GB,6.5-6.99 inches,5000+mAh,12990.0
404,Huawei,128GB,6.5-6.99 inches,3700mAh-4200mAh,13999.0
406,OPPO,32GB,6.5-6.99 inches,4201mAh-4999mAh,6199.0
408,Xiaomi,128GB,6.5-6.99 inches,4201mAh-4999mAh,18999.0
410,Samsung,256GB,6.5-6.99 inches,5000+mAh,23990.0
414,realme,64GB,6.5-6.99 inches,5000+mAh,9990.0
416,Vivo,32GB,6.5-6.99 inches,5000+mAh,6499.0
418,realme,128GB,6.0-6.5 inches,5000+mAh,8490.0
420,realme,64GB,6.0-6.5 inches,5000+mAh,7490.0
423,Huawei,128GB,6.5-6.99 inches,3700mAh-4200mAh,30999.0
424,realme,64GB,6.0-6.5 inches,5000+mAh,7490.0
425,ASUS,512GB,6.5-6.99 inches,5000+mAh,59995.0
427,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,8790.0
428,OPPO,128GB,6.0-6.5 inches,3700mAh-4200mAh,18990.0
431,Vivo,256GB,6.0-6.5 inches,3700mAh-4200mAh,27999.0
433,Samsung,128GB,6.0-6.5 inches,5000+mAh,12990.0
435,realme,128GB,6.0-6.5 inches,5000+mAh,8490.0
436,Xiaomi,128GB,6.5-6.99 inches,4201mAh-4999mAh,14990.0
440,Vivo,128GB,6.5-6.99 inches,5000+mAh,6498.0
441,Samsung,64GB,6.0-6.5 inches,5000+mAh,5990.0
442,Xiaomi,256GB,6.5-6.99 inches,5000+mAh,29999.0
444,Vivo,128GB,6.5-6.99 inches,3700mAh-4200mAh,8999.0
445,realme,64GB,6.0-6.5 inches,5000+mAh,5999.0
448,ASUS,256GB,6.5-6.99 inches,5000+mAh,54995.0
449,Huawei,256GB,6.5-6.99 inches,4201mAh-4999mAh,55999.0
451,realme,128GB,6.0-6.5 inches,4201mAh-4999mAh,17190.0
452,realme,256GB,6.0-6.5 inches,4201mAh-4999mAh,22190.0
454,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,21999.0
455,Samsung,64GB,6.0-6.5 inches,5000+mAh,7490.0
458,OPPO,32GB,6.5-6.99 inches,4201mAh-4999mAh,6199.0
460,Huawei,256GB,6.5-6.99 inches,4201mAh-4999mAh,19999.0
462,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,6599.0
466,realme,64GB,6.5-6.99 inches,5000+mAh,9990.0
468,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,6599.0
471,realme,128GB,6.0-6.5 inches,5000+mAh,8490.0
473,Vivo,128GB,6.5-6.99 inches,5000+mAh,12999.0
476,Vivo,32GB,6.5-6.99 inches,5000+mAh,6499.0
477,Huawei,256GB,6.5-6.99 inches,4201mAh-4999mAh,35998.0
479,realme,64GB,6.0-6.5 inches,5000+mAh,7490.0
481,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,8799.0
483,realme,64GB,6.0-6.5 inches,5000+mAh,7490.0
484,Huawei,128GB,6.5-6.99 inches,3700mAh-4200mAh,30999.0
486,realme,128GB,6.0-6.5 inches,5000+mAh,8490.0
488,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,8790.0
491,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,57990.0
493,Xiaomi,128GB,6.5-6.99 inches,4201mAh-4999mAh,14990.0
497,ASUS,128GB,6.5-6.99 inches,5000+mAh,43995.0
500,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,57990.0
501,OPPO,Others,6.0-6.5 inches,5000+mAh,13990.0
502,realme,128GB,6.0-6.5 inches,4201mAh-4999mAh,17190.0
503,realme,64GB,6.0-6.5 inches,5000+mAh,5999.0
