,Bedrooms,Bathrooms,Sqm,Cost,Zscore
10299,2,1,36,2670000.0,-0.3749886504023252
10300,2,2,54,1700000.0,-0.4239879577314386
10301,3,2,180,6300000.0,-0.19162010854182887
10302,2,1,44,1010000.0,-0.45884313510988006
10303,3,2,145,6770000.0,-0.1678781761246296
10304,2,1,46,3080000.0,-0.3542776029745557
10305,4,3,85,5620000.0,-0.22597013842203204
10306,3,5,215,17000000.0,0.3488877145731329
10307,5,3,166,7620000.0,-0.12494063877437564
10308,5,3,100,5300000.0,-0.24213485836565707
10309,2,2,44,1060000.0,-0.4563173976186886
10310,2,1,40,2780000.0,-0.36943202792170415
10311,2,2,53,4680000.0,-0.27345400325643054
10312,5,5,350,36400000.0,1.3288738611553998
10313,2,1,35,1550000.0,-0.43156517020501284
10314,3,1,42,2020000.0,-0.40782323778781354
10315,2,1,36,2340000.0,-0.39165851784418854
10316,2,1,36,1310000.0,-0.4436887101627316
10317,2,3,64,13600000.0,0.17713756517211698
10318,2,1,40,4380000.0,-0.288608428203579
10319,3,1,64,9100000.0,-0.05017880903510991
10320,3,2,66,5150000.0,-0.2497120708392313
10321,3,2,60,6500000.0,-0.18151715857706324
10322,6,4,260,17500000.0,0.374145089485047
10323,2,1,44,1010000.0,-0.45884313510988006
10324,2,2,54,1700000.0,-0.4239879577314386
10325,3,2,180,6300000.0,-0.19162010854182887
10326,3,2,145,6770000.0,-0.1678781761246296
10327,2,1,46,3080000.0,-0.3542776029745557
10328,4,3,85,5620000.0,-0.22597013842203204
10329,5,3,166,7620000.0,-0.12494063877437564
10330,5,3,100,5300000.0,-0.24213485836565707
10331,2,2,44,1060000.0,-0.4563173976186886
10332,2,2,53,4680000.0,-0.27345400325643054
10333,2,1,40,2780000.0,-0.36943202792170415
10334,2,1,35,1550000.0,-0.43156517020501284
10335,3,1,42,2020000.0,-0.40782323778781354
10336,5,5,350,36400000.0,1.3288738611553998
10337,4,5,209,20000000.0,0.5004319640446174
10338,4,3,99,6700000.0,-0.17141420861229759
10339,2,1,40,6520000.0,-0.18050686358058665
10340,2,1,36,1310000.0,-0.4436887101627316
10341,2,1,36,2340000.0,-0.39165851784418854
10342,2,1,40,4380000.0,-0.288608428203579
10343,3,1,64,9100000.0,-0.05017880903510991
10344,3,2,66,5150000.0,-0.2497120708392313
10345,2,3,64,13600000.0,0.17713756517211698
10346,3,2,60,6500000.0,-0.18151715857706324
10347,2,1,36,2670000.0,-0.3749886504023252
10348,2,2,54,1700000.0,-0.4239879577314386
10349,3,2,180,6300000.0,-0.19162010854182887
10350,2,1,44,1010000.0,-0.45884313510988006
10351,3,2,145,6770000.0,-0.1678781761246296
10352,5,3,166,7620000.0,-0.12494063877437564
10353,5,3,100,5300000.0,-0.24213485836565707
10354,4,3,85,5620000.0,-0.22597013842203204
10355,3,5,215,17000000.0,0.3488877145731329
10356,2,2,44,1060000.0,-0.4563173976186886
10357,2,1,40,2780000.0,-0.36943202792170415
10358,5,5,350,36400000.0,1.3288738611553998
10359,2,2,53,4680000.0,-0.27345400325643054
10360,2,1,35,1550000.0,-0.43156517020501284
10361,3,1,42,2020000.0,-0.40782323778781354
10362,4,5,209,20000000.0,0.5004319640446174
10363,2,1,36,2340000.0,-0.39165851784418854
10364,2,1,36,1310000.0,-0.4436887101627316
10365,2,3,64,13600000.0,0.17713756517211698
10366,2,1,40,4380000.0,-0.288608428203579
10367,3,1,64,9100000.0,-0.05017880903510991
10368,3,2,66,5150000.0,-0.2497120708392313
10369,3,2,60,6500000.0,-0.18151715857706324
10370,6,4,260,17500000.0,0.374145089485047
10371,2,1,44,1010000.0,-0.45884313510988006
10372,2,2,54,1700000.0,-0.4239879577314386
10373,3,2,180,6300000.0,-0.19162010854182887
10374,3,2,145,6770000.0,-0.1678781761246296
10375,2,1,46,3080000.0,-0.3542776029745557
10376,4,3,85,5620000.0,-0.22597013842203204
10377,5,3,166,7620000.0,-0.12494063877437564
10378,5,3,100,5300000.0,-0.24213485836565707
10379,2,2,44,1060000.0,-0.4563173976186886
10380,2,2,53,4680000.0,-0.27345400325643054
10381,2,1,40,2780000.0,-0.36943202792170415
10382,2,1,35,1550000.0,-0.43156517020501284
10383,3,1,42,2020000.0,-0.40782323778781354
10384,5,5,350,36400000.0,1.3288738611553998
10385,4,5,209,20000000.0,0.5004319640446174
10386,4,3,99,6700000.0,-0.17141420861229759
10387,2,1,36,2340000.0,-0.39165851784418854
10388,2,1,36,1310000.0,-0.4436887101627316
10389,2,3,64,13600000.0,0.17713756517211698
10390,2,1,40,4380000.0,-0.288608428203579
10391,3,1,64,9100000.0,-0.05017880903510991
10392,3,2,66,5150000.0,-0.2497120708392313
10393,3,2,60,6500000.0,-0.18151715857706324
10394,6,4,260,17500000.0,0.374145089485047
10395,2,1,44,1010000.0,-0.45884313510988006
10396,2,2,54,1700000.0,-0.4239879577314386
10397,3,2,180,6300000.0,-0.19162010854182887
10398,3,2,145,6770000.0,-0.1678781761246296
10399,2,1,46,3080000.0,-0.3542776029745557
10400,4,3,85,5620000.0,-0.22597013842203204
10401,5,3,166,7620000.0,-0.12494063877437564
10402,5,3,100,5300000.0,-0.24213485836565707
10403,2,2,44,1060000.0,-0.4563173976186886
10404,2,2,53,4680000.0,-0.27345400325643054
10405,2,1,40,2780000.0,-0.36943202792170415
10406,2,1,35,1550000.0,-0.43156517020501284
10407,3,1,42,2020000.0,-0.40782323778781354
10408,5,5,350,36400000.0,1.3288738611553998
10409,4,5,209,20000000.0,0.5004319640446174
10410,4,3,99,6700000.0,-0.17141420861229759
10411,2,1,40,6520000.0,-0.18050686358058665
10412,2,1,36,1310000.0,-0.4436887101627316
10413,2,1,36,2340000.0,-0.39165851784418854
10414,2,1,40,4380000.0,-0.288608428203579
10415,2,3,64,13600000.0,0.17713756517211698
10416,3,1,64,9100000.0,-0.05017880903510991
10417,3,2,66,5150000.0,-0.2497120708392313
10418,3,2,60,6500000.0,-0.18151715857706324
10419,2,1,36,2670000.0,-0.3749886504023252
10420,2,2,54,1700000.0,-0.4239879577314386
10421,3,2,180,6300000.0,-0.19162010854182887
10422,2,1,44,1010000.0,-0.45884313510988006
10423,3,2,145,6770000.0,-0.1678781761246296
10424,2,1,46,3080000.0,-0.3542776029745557
10425,4,3,85,5620000.0,-0.22597013842203204
10426,3,5,215,17000000.0,0.3488877145731329
10427,5,3,166,7620000.0,-0.12494063877437564
10428,5,3,100,5300000.0,-0.24213485836565707
10429,2,2,44,1060000.0,-0.4563173976186886
10430,2,1,40,2780000.0,-0.36943202792170415
10431,2,2,53,4680000.0,-0.27345400325643054
10432,5,5,350,36400000.0,1.3288738611553998
10433,2,1,35,1550000.0,-0.43156517020501284
10434,3,1,42,2020000.0,-0.40782323778781354
10435,2,1,36,2340000.0,-0.39165851784418854
